text,label,annotation_notes
"These are just PL stats Palmer Total minutes played: 2750 Total G/A: 22 (14+8) Total xG: 15.56 Total xA: 7.90 Saka Total minutes played: 1460 Total G/A: 16 (6+10) Total xG: 5.91 Total xA: 6.83 I think a ""goal draught"" is less of an excuse than ""biggest injury of his career"" but I'm an Arsenal fan and might be biased.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"If Liverpool get \~90pts just proves their underlying stats are excellent, irrespective of other teams. Notable Liverpool have solid xG even when they don’t get the result eg Win and a good number of clean sheets in defence. Adaptable style also and game management is very flexible along with solid goal attempts each game. Arsenal match Liverpool except if you look at the glaring flaw: No top striker goal contribution compared to Salah, Isak and Haarland and even multiple other teams with higher contribution strikers. That basically explains Arsenal’s failing over a full season.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
There were remanants pf Poch's style in the first half of this season. But as Maresca gradually coached Maresca ball into them their average possession has increased but they generate less xG than before.,analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"It's not even that, they are massively overperforming xG this season. It's not like they have some really incredible players like leicester had, most of their players are not top 6 level. It's likely they revert to normal form next season.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Forest are massively overperforming xG, like to a ridiculous extent and that simply isn't sustainable. You simply should not have that many goals because you don't create that many good chances, this can be accredited to great finishing and form of chris wood in particular but at 33 years old he just won't continue this. Chelsea have the opposite issue, we are massively underperforming xG and in our case it is fairly simple, we need a more clinical CF and a LW. Additional goals will be provided by santos and estevao as well so that will be solved next season. Forest on the other hand already are at 87% of revenue being spent on wages, they can't afford to be adding to the team at least not without selling first.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
The XG is irrelevant. I think only Leicester and Man City had scored in every game by the time he went. Now you never score,hot_take,Bold opinion or claim asserted without checkable evidence.
"I couldn’t see us being on any higher than 22 with the lack of quality in the squad and with how he alienated a lot of the players very early on and we still had a lack of goalscoring threat, we had the least xG in the league when he was managing us.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
I agree. But people act like xG is everything.,hot_take,Bold opinion or claim asserted without checkable evidence.
Found the xG virgin,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
Also lucky with way way outperforming their xG. Chris Wood is good but he’s putting Kane level G-xG this season.,analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Also they are massively overperforming xG, that's just not sustainable.",hot_take,Bold opinion or claim asserted without checkable evidence.
"Hate to be a stats nerd, but statistically speaking in terms of xG, xGA, chances created, chances conceded, shots and shots against, we are one of if not the best team in championship history",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
We did beat both of them last season and have better finances than certainly Ipswich and I think Leicester. Our owners have more experience in managing large scale sports clubs. I don't think anyone is after our manager a la Leicester. Plus compared to Ipswich we were performing much closer to our xG and xG against.,analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Great visualization of the numbers! As a Liverpool fan, I think we don't even need this data set to know we are wasteful with our chances, feels like almost every game that we under scored our xG 😭",reaction,"Edge case B: mentions xG but dominant intent is emotional ('feels like', emoji) -> reaction."
"I'll start by saying this isn't intended as a pissing on your chips post, but you explain the how, but not the why. I love interesting ways to use stats, but I can't get my head around what the outcome of it all is. It stands to reason that teams creating better chances are scoring more goals, and if they aren't, they are underperforming. Which is sort of what xg does. You appear to have just put a higher bar on what counts as a chance (the &gt;0.3 part) for the purpose of the post. The things that interest me from the stats are why some teams are scoring more of their lower xg chances or a breakdown of more than just &gt;0.3 looking at which teams create the biggest big chances. Creatively, it is far more than I can do, so I commend that. From an analysis point, it doesn't really tell me any more that xg and goals scored would.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"No it doesn't. xG shows that Spurs dominated Frankfurt in the first leg, and in the second leg we bought on two defensive players in Sarr and Danso for Tel &amp; Johnson because we were confident of seeing out the game. Your claim that Tottenham should have gone out and were luck is disingenuous and disrespectful. Frankfurt were lucky they didn't concede 4 in the first leg. Tottenham were the better team over the two legs and never looked out of control of the tie.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"xG shows that these were two pretty evenly matched teams. On paper though Spurs should have dominated. Their budget is 5 times bigger then Eintracht's. And yes, they were able to keep the clean sheets. But you have to thank Christensen for that as he did more then the entire Spurs defensive line up to keep the ball out of Tottenham goals.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Over the two games, Spurs xG was 2.98 Frankfurts was 2.75. Tottenham hit the woodwork twice in the first leg and their GK got MOTM. Most of their chances came in the final 20minutes when we had decided to sit back and defend the 1-0.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Such bias against Spurs. Over the two legs we were the better team and created more xG. Although they had the better chances last night, we shut them out for the most part with a solid defensive display.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"I disregard “this is our year” stuff, god forbid fans are optimistic about their team. But always making it about Liverpool stereotype is quite prevalent online, where people similar to OP reply to a post or most often a Tweet/BlueSky post which doesn’t concern them in the slightest. Like an Arsenal-focused journalist posting for Arsenal fans saying “Arsenal created lots of xG against this opponent and played well” there’d be a Liverpool fan saying that Liverpool created more and played better against that opponent. That’s the stereotype I was talking about.",hot_take,Bold opinion or claim asserted without checkable evidence.
"Because we're lovable Geordies, we like a few beers and the craic is great. We're not quite English and we're not quite Scottish. Sometimes if things go wrong a horse gets punched, there's a kind of chaotic energy about St James that's addictive. Also we hadn't won anything in ages despite having a large fan base, then there was Keegan and Sor Bobby and even Joe Kinnear, if nothing else it's always \*interesting\* up here. I think we also attract casuals \\ floating fans because we tend to play attractive high pressing football and often have in the past. There's a romance to a fallen giant club and sometimes people like to see the story play out. Then there's the midfield magnificence of Sandro Tonali(ole! ole!), the calm precision of Bruno, the unbridled storm that is Joelinton and then there's big Dan Burn - local lad scoring in a cup final, Roy of The Rovers stuff, isnt it, hmm?",hot_take,Bold opinion or claim asserted without checkable evidence.
It’s been a poor season as a spectacle as there is little to nothing for most teams to play for going into the final weekend. I also think we’re possibly coming to the end of a cycle when it comes to the heavy pressing style of play and fans are getting bored of the majority of the league playing such similar tactics.,hot_take,Bold opinion or claim asserted without checkable evidence.
"No one is saying sign only teenagers, but signing several players at the tail-end of their careers is a short-term fix. We’re not a retirement home. You can’t expect to play intense, high-pressing Prem football with players on the cusp of losing their legs.",hot_take,Bold opinion or claim asserted without checkable evidence.
Pep is a genius and if he rebuilds city regardless of spending I think it will cement him as one of the best managers ever (as long as he gets a few more champions league trophies). That said I fucking hate pep ball it’s so boring and slow it’s literally the equivalent of slowly contracting your opponent to death. He sucks all the joy out of wingers with the constant cut backs and recycling city are so good at pressing they should just take more risks instead of the constant slow passive recycle recycle recycle. At this point they may as well call themselves the Green Party.,hot_take,Bold opinion or claim asserted without checkable evidence.
"Did he? You know what he thought? All thats happening is hes winding all of you right up, Liverpool fans should be talking about tge league they just won but i hear nothing about it, youre so triggered by everything he says its hilarious. Haha you want to count managers? Shall we talk about King Kenny? I know it hurts but if hes just pressing play on klopps squad its not the same as arteta having to do a rebuild. I know you dont agree but how can you when your head is all the way up your own ass?",hot_take,Bold opinion or claim asserted without checkable evidence.
"Again... you think they are ""quality"" simply because your standards have massively dropped. Yeah sure, you have more pressing concerns in your squad right now l, but you basically need an entire starting 11 maybe apart from Bruno and Garnacho, to get back to being an elite team.",hot_take,Bold opinion or claim asserted without checkable evidence.
"6 wins 6 draws 13 losses is dog shit, it's no good banging on about systems and players not suitable he's created this narrative himself and basically allowed the players to write the season off... The squad isn't great but it's not a 16th in the table squad.. He hasn't bettered any aspect of our play, not attacking, pressing, defending nothing.. He's made no impact whatsoever in terms of player improvement.. He's shown nothing to warrant even being here next season, I am dumbfounded by the pass he's getting because he doesn't apparently have the players suited to the supposed glorious system of him, it's fcking bizarre...",hot_take,Bold opinion or claim asserted without checkable evidence.
You don’t know about pressing it’s kinda important these days so yea it’ll win you the prem,hot_take,Bold opinion or claim asserted without checkable evidence.
"They had a ready built squad with vvd and salah on the forms of their life, you think they knew salah and vvd would turn in to what they are when they bought them, no. We'll see what Slot does next season when hes not just pressing play on Klopps winning team. See how he does when he doesnt have the cheat codes enabled. I didnt say we were, and arteta has been backing it with results but not every team qins every year, its like you dont understand football, just an ego trip",hot_take,Bold opinion or claim asserted without checkable evidence.
"It is absolutely being massively overlooked because of both clubs’ advancement to the Europa League final. Losing the final will be the cherry on top of the absolute disgrace of a season for either team. I understand the general consensus that Tottenham’s injury crisis serves as a better excuse for their piss poor league performance, but I’m not entirely buying it either. Ange has been at the helm for two seasons now and so far, it’s been one injury after another, and to crucial starting XI players (Romero, Van de Ven, Son, etc.). At some point, you have to change your tactics to accommodate the for the players’ physical well-being, and running them ragged every game by pressing high and playing non-stop, maximum-intensity for 90+ minutes a game is going to result in injuries galore. Spurs’ performance against Palace was absolutely appalling.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
It is moronic . We got the same this year against Liverpool. Yes we did try and also score. But no we aren't trying to sucked in to pressing your centre backs. If you want to have a go at scoring then punt it into the box or shoot.. not the defending teams fault you want to walk it in,hot_take,Bold opinion or claim asserted without checkable evidence.
">so really this was the most pressing position to fill. I would counter and say that both are pressing needs and both will be addressed this transfer window. And even if people believe the striker is the great need of the two, that shouldn't mean this gets put on the backs held until a striker is sorted. One shouldn't impact the other. Get both done as soon as practically possible.",hot_take,Bold opinion or claim asserted without checkable evidence.
"Partey hasn’t renewed yet and Jorginho has left, Rice is way better as an 8 so really this was the most pressing position to fill. Still have Havertz and Jesus. Firepower up front can be improved but if everyone is healthy it can compete as seen last two seasons.",hot_take,Bold opinion or claim asserted without checkable evidence.
"I think we need to upgrade Martinelli, and I believe that has been a goal of Arteta's for some time (read: 100m bid on Mudryk). His pace, and defensive pressing, will make him a great super sub if he wants to stay. Despite his recent form, I would also let Partey go. Every other year he's been injury prone and let's not ignore the fact that the SA allegations are a dark cloud over the club. With him an Jorginho leaving we would maybe need two players here unless Arteta plans to rotate MLS through this position. Zubi/MLS/Rice on the depth chart? Then you add a striker who can make an impact against low blocks and our squad is well-rounded. Plenty of rotation through the back line and players who can rotate through MF/Front three. Barring injuries, the squad will be scary.",hot_take,Bold opinion or claim asserted without checkable evidence.
"Not every game is like that though, is it? Fulham at home, despite the result, was absolute domination after conceding + the red card. 3/4 Spurs games this season we’ve dominated with huge score lines. These were intense pressing, lots of attacking sort of games. In addition to those, there’s also been games where we dominated in a different way. City, Madrid, Newcastle at home we dominated those entirely. Controlled the game and we’re defensively very strong. I personally like Slot’s style. Yes he prefers a slower build up and controlling the game as opposed to gegenpressing, but he’s also shown that the team is still extremely capable of playing like a typical Klopp team when they want or need to. He seems like a very flexible manager, and I don’t think there’s a need to be concerned about how we’ll fare in Europe - we only went out this season on penalties, to PSG, who look like they may go and win the whole thing.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Also, the pressing in Prem is with higher intensity and progresses a few seconds faster than in La Liga.",hot_take,Bold opinion or claim asserted without checkable evidence.
"He doesn't seem to understand that thousands fundamentally change modern football. The current vogue of high pressing, possession squeezing football relies on a high line. That high line is already vulnerable but this change would make it untenable. Teams would have no option but to sit further back and not press up as much. Some of the most exciting recent games (including last nights) would never have happened with this rule change. Wenger is obsessed and has serious tunnel vision with this. Football would be much worse off if he gets his way IMO.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Yeah I agree, mostly cause of how they play, high tempo and pressing. And there’s just something about European games that makes it more exciting. Like look at United, their matches have been pure entertainment. The intensity in Europe is mad.",hot_take,Bold opinion or claim asserted without checkable evidence.
"Salah's athleticism has been declining for a few years now, his output has increased because of better positioning and agreeing with Slot to be left out of more defensive duties and heavy pressing, along with a more focused approach on chance creation. Fullbacks have the worst drop off in performance almost universally because they're the most reliant on pace and athleticism (which is the first thing to go as a player gets older)",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"As a Spurs supporter, he has to go if he won't change his system (he won't). His pressing style is suicidal in the PL. You can't commit 6 players forward into the final 3rd, including 1 of the fullbacks who charges forward way out of position, even some of the worst sides in the PL are capable of playing through a press and then Spurs are wide open. This worked in Scotland, Japan and Australia because those sides were just suffocated by Angeball. Watch the highlights of West Hams goal today. You can see the moment I'm talking about, when they beat our suicide press, and they are just free to hit us on the counter because we are wide open.",analysis,Explains a pressing mechanism and points to a named goal as evidence -> analysis.
"He's just not that suited for the pace &amp; pressing of the Prem. He needs time on the ball to be effective, which he gets during set pieces but doesn't get otherwise. He'd be an absolute monster in Serie A though. I've never understood why he's hasn't been linked with a move abroad.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"I’m sure the kids will want to show the manager what they can do but it won’t be our strongest team and with the best will in the world, mentally it is can never be the same. Even a 5% drop off is a huge difference especially with the pressing game. For us it’s like having four last games of the season when you are mid table and have zero to play for, the mind starts heading off to the beach already l!",hot_take,Bold opinion or claim asserted without checkable evidence.
"I think they'll drop off like they did last time they were in the Champions League. I think Eddie Howe is a lot like Brendan Rodgers, good manager but only able to succeed playing high aggression intense pressing football which can't be sustained over a 60 game season. Always has a good season when not in Europe followed by a bad season when in Europe.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Nope, watching in 2025, Maguire is still shite, United’s standards just slipping more and more, and defending more in a system that suits him (5 back, deep block) Once Amorim wants to move back to his proper system with high pressing, mobile CBs, Maguire will once again be exposed If a player keeps getting injured, maybe it’s something deeper than just bad luck, maybe the player is actually injury prone, and it’s an issue that can only be solved by replacing them Especially when that player just flies into every challenge with no care for his, or his opponents safety Mazraoui was brilliant for you guys as a fullback, your best player, I’m not denying that, I’m just saying I’ve not been anywhere near as impressed watching him play at CB, because he just doesn’t play there naturally, he’s better than other options you have, because your options aren’t great, but again, Amorim will want proper CBs who understand and can execute the system",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"we appointed moyes because he played a classic 4-4-2 and counter attacking football like fergie at everton then appointed van gal to play possession based as game was evolving then appointed jose who parks the bus but at least he guarantees trophies then appointed ole who played on fast counter attacks and because ""counter attack is in our dna"" then appointed ten hag to play high pressing build up from the back with a focus on possession because pep and klopp were successful with that and then appointed amorim who plays 3 at the back with specialist wingbacks as new upcoming managers like inzaghi and xabi are also doing that all 6 full time managers with very different philosophies and now if they sack amorim we will again probably go for a 4 at the back manager giving him another 200m of signings for a few windows and waiting for results to come, this is a toxic cycle which will never end until the club decides which philosophy they actually want to stick to",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Chelsea vs Tottenham is absolutely a fierce derby, I'd even say over the past 10 yrs its been a more charged derby than the North London Derby, think of moments like the Battle of the Bridge, Tuchel vs Conte handshake, 9 man Tottenham high pressing after two players sent off, etc",hot_take,Bold opinion or claim asserted without checkable evidence.
"It’s really not. A huge reason Chelsea are in this position is because the team was still playing pieces of Poch-ball without Maresca’s system being fully implemented. This meant attacks were quicker, pressing was more efficient, and wingers weren’t constantly 1v2/1v3z Now that it has been, it’s been absolute shit since January.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
I feel Amorim has done a decent job. In the first half against Lyon you saw glimpses of what he wants with the pressing and passing. Even in PL there are sequences where we outplay superior teams for 30 odd minutes. At the moment I feel this team is incapable of following the tactics for a full 90 minutes. I'd say the template sounds awfully similar to Jurgen Klopp's Liverpool in the initial days where the tactic was to soak up pressure and hit in the last few minutes. I know that's an extremely lofty comparison to make but I want to see Amorim's system atleast for one full season. Besides who else is gonna use a 3 at the back in the short term? You'd need to gut the team again.,analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Would love him but: 1) our SDs would never ever ever go for it because of his age profile, and 2) the only place he fits into maresca’s “system” is where Cole is currently playing. Not sure if KdB is up for all the running / pressing that requires, or if Maresca’s got the tactical wherewithal to fit both of them into a cohesive XI together. Otherwise it would just be a waste.",hot_take,Bold opinion or claim asserted without checkable evidence.
"That's how they operate, though, isn't it? I remember Ole being associated with a high-pressing, offensive setup before he arrived at Man United, and he left Man United being associated with counter-attacking, occasionally negative football and the ""no game plan"" that seems to haunt every Man United manager eventually. The only explanation is that he had to adapt to the team at his disposal, as opposed to the other way around. And that's what happens when a club becomes a revolving door for managers. Van Gaal and Mourinho were never going to set the club up for entertaining football, and yet the decided to hire a manager with a completely different approach to tactics while seemingly ignoring the squad composition 😅 Contrastingly, it makes perfect sense that the Klopp - Slot transition was more seamless. I imagine Rangnick would've handled Liverpool well also, considering they've already got the types of players that he likes to work with.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Honestly, I think people are underrating Amorim big time. What he’s built at Sporting with a tiny budget is exactly what United need. A clear identity, structured pressing, and youth development. ETH had nearly two years and still couldn’t implement a coherent system. At least Amorim stands for something. It’s a risk, sure, but every managerial appointment is. Arsenal fans were calling for Arteta’s head after 18 months too, and now they act like he invented football. The difference is United are backing someone before the hype, not after. If INEOS gives Amorim the right tools, this could finally be the reset the club needs.",hot_take,Bold opinion or claim asserted without checkable evidence.
Not an expert but the basic is 3 at the back with strong wing backs being very important in the system. Possession based with high pressing but this hasn’t happened at United as they don’t have the quality to hold possession or the discipline to press high,analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"I mean everyone knows they are shit, gonna have to sell players then buy over 100mil worth of players to fit Amorim’s system. At least as a spurs fan we have a bunch of kids that look promising and if we stick to a coach with a similar pressing system we will be fine or roll the dice with ange if we win EL. They are in such a worse state than we are it’s amazing but with the way things look for both clubs we will just choke away the chance to face each other in Europe.",hot_take,Bold opinion or claim asserted without checkable evidence.
"I don't think anyone will be stupid enough to buy him. He gets huge credit for a spell where he got so lucky players were literally just belting the ball at him and it would bounce off him into the net. He has a worst first touch than fat Lukaku, constantly tries to wrestle with defenders he's weaker than, has appalling movement in the box, and his idea of pressing is a light jog vaguely in the direction of the opposition.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"I agree largely but with some exceptions. Joelinton is probably the most important of the 3 when we play tougher opponents like City, Liverpool and Arsenal. His physicality, defensive contributions and pressing are all valuable when we need to play good out-of-possession football to win games and this seems to up our performances against the better sides. However, his relative shortcomings with dribbling, shooting and passing tend to stand out when playing mid table or lower table teams. KDB would be the exact opposite in those instances.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Our right back is the league's most in-form left back, our backup winger is gluing Anthony Gordon to the bench, our horrendously bad striker from 5 years ago is one of the league's best pressing midfielders, two of our goalscorers were in 19th place with our pre-Eddie pre-PIF squad and both of them are player of the season candidates pushing for top 3, and our Assistant Manager is on course for the Premier League manager of the month. If this was on your bingo card, you're a crackhead and I love you.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"That’s the kind of opinion people who’ve not been watching football for very long have. Also they are completely different clubs. Spurs, it’s very clear that failure at Tottenham does not impact future career options. We are also still a well run club. We have a young squad with a lot of talent &amp; there is no reason we cannot quite quickly return to around 6th. Prior to this season we were: 5th - 8th - 4th. The currently league position is clearly down to a bad manager being incapable to mitigate a massive injury crisis + us having a squad that’s too young and didn’t have the depth for Europe. Next season we won’t have Europe and those young player will have a full season of football behind them. Any decent manager that plays 4/3/3 or 4/2/3/1. With a focus on pressing &amp; playing out from the back &amp; developing young players, should be looking at this Tottenham job as a golden opportunity.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"General intensity of the game , physicality on corners etc , pressing etc you can’t compare",hot_take,Bold opinion or claim asserted without checkable evidence.
"Going in with 4-4-2 was an arrogant decision. They were setup to just rely on Vini and Mbappe’s pace in behind for a counter and betting that Arsenal won’t be able to create enough good chances or convert them to score. In their defense, in almost worked for an hour but then Arsenal ramped up their pressing intensity and created more chances and Real made no change at all. Still I predict Real will score 4 at the Bernabeu to nick it.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"The quality of the championship has improved the last few years in terms of the top teams now playing like top teams (high possession &amp; pressing) as opposed to 10/15 years ago where a few good players and a Dyche/Pulis/Bruce system would keep enough clean sheets to get you up. However, because of this and the vast gulf in monetary capabilities of the 17th best prem side and a championship team, these teams need to come up with a flipped change to an underdog strategy/approach to each game. If you come up intent on playing positive football, you’re almost always going to come up against a team better at doing what you’re trying to do. Teams have to do something else entirely to maybe find enough ways to win. But keeping a dressing room and fan base on side with being negative home and away is tough these days. Second balls, a physical side, a pacey outlet and solid backline offering 10 set piece goals a year, might be enough of a foundation to push on the following years.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"I mean I’m a Liverpool fan so maybe I’m biased but Under Klopp, Liverpool’s high-pressing, attacking style and relentless energy and goal-scoring prowess, has been widely acclaimed for its entertainment value. In contrast, despite Manchester City under Pep Guardiola achieving comparable goal tallies, their methodical and possession-focused approach has been perceived by some as less thrilling and, at times, monotonous.",hot_take,Bold opinion or claim asserted without checkable evidence.
Early on in the season you could tell they had a pattern of play or were more controlled. That “control” that they were lauded for has turned to laziness or just lacking creativity and aimlessly passing the ball around. Their midfield looks disjointed. There isn’t even a pattern to their pressing cause they’ve struggled to even win back possession. It just all feels like no one’s on the pitch knows their role suddenly or what they should be doing.,analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"He’s been one of our best players this season tbf, his holdup and linkup play have been fantastic as well as his pressing off the ball. It’s Ange’s tactics that are at fault for his modest goal contributions (as well as significant time spent injured)",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"100%. This generation of players have been molded to fit systems, and if they dont, theyre cast aside and left to figure out their own path. Its destroyed so many natural talents. Why dont we have any Shearer, Rooney, Eto'o, Henry, Torres, Owen, Heskey etc? Theyre all gone and turned into pressing machines",hot_take,Bold opinion or claim asserted without checkable evidence.
But heavy pressing will cause players to fatigue?,hot_take,Bold opinion or claim asserted without checkable evidence.
This is why everyone preferred to watch klopp’s Liverpool over city as boring tiki taka is nothing compared to heavy metal pressing,hot_take,Bold opinion or claim asserted without checkable evidence.
I watched all these games. Sometimes when you force an opponent to make a mistake it’s actually because you forced the mistake by pressing and being aggressive. The point is that non of these incidents that I mentioned have anything to do with such a scenario. People won’t like to hear it but it’s luck. Is it their never say die attitude that caused the referee to ignore Benzema’s foul or was it luck? Was it their never say die attitude that caused Alvarez to slip and take a double touch or was it luck?,analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"In Dyche's first promotion season with Burnley he played the high pressing style. He ditched it in the PL because as Kompany proved, it doesn't work so well against better players.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Nah he was actually good. Not amazing, but good. He regressed in his final year in Chelsea but before that he was a really high workrate player, pressing constantly, surprisingly fast, decent ball winner and carrier, had an eye for goal and wasn't injury prone. Won their player of the year twice remember. You can't force that, if you're not good enough you're not good enough no matter how many corners or free kicks you take.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"I could see Bournemouth winning the FA Cup, one of the best pressing teams at the moment and the only team who could deal with it city are having a shocking season",hot_take,Bold opinion or claim asserted without checkable evidence.
"Watch a noughties Prem game at random and the standard is dreadful. No build up play, no real pressing most of the time, overly direct, defenders who treat the ball like a grenade it's all there on footbalia and youtube, you watch like Wenger's Arsenal even and they'd be made into mincemeat by a Brentford or Palace now who'd press them off the pitch and kill them in transition",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
maybe not. But he would have put in a better shift tracking back and pressing. Sancho was pretty much non existent.,hot_take,Bold opinion or claim asserted without checkable evidence.
"Ah I see. Yeah, I wouldn't be against it, but I think we have far more pressing issues and tbh, I really like our base three midfielders as is. Unfortunately, like I have warned countless times to empty ears until the last month in our fanbase, we *driving Gravenberch into the ground* and while not utilising players who whether started or came off the bench last season (Elliot) I would still be hesitant to pay whatever Chelsea would demand (150+) for a player with one very good season that is very spotty against the Top 6 clubs if you deep it, and hasn't had to be concerned with performing in UCL for Chelsea. If he performs next season with.. I presume UCL football behind him and still wants to move, then we can talk.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Old Jim really knows how to hit you with those hot takes on current, pressing situations. Next thing you know he’s gonna say that Neville Chamberlain made a mistake with the Munich Agreement or maybe tell us it’s a bad idea to let Jimmy Saville babysit your kids.",reaction,"Emotional/expressive, joke, or insult with no claim to defend."
"I am a Liverpool fan. Klopp full on pressing and always running to the opposition never helped either, imo. Then when he brought up the high line 2 years ago, it got worse. Time will tell, but it looks like Slot tweaks to Klopp's system are able to keep the team injury free. Things like timed pressing, calm approach to attacks and being able to sit back and rest with the ball.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Not to make excuses but that literally almost never, ever happens. As an Arsenal fan, all season long I see Saka get 2-4 defenders on him at ALL times. Salah is standing on the half way line with 1 defender waiting for his team mates to win the ball from a corner then hoof it up to him and he's on his own. For one of the best players in the world, it's absolutely hilarious how little this guy gets 2-4 defenders pressing him.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Mane was always better than him, he did the hard work creating chances pressing and dribbling while Salah waited in the box",hot_take,Bold opinion or claim asserted without checkable evidence.
Yeah man a number 10 being lazy at pressing and getting back into position will cause the richest team in the league to completely collapse,hot_take,Bold opinion or claim asserted without checkable evidence.
"I think he keeps pressing him and asks a lot of questions fans wanted asking, I think he did a good job.",hot_take,Bold opinion or claim asserted without checkable evidence.
"Pressing. Pressing. Pressing. It forces the team in possession to make blunders and so a lot of goals will be super quick counters where the build up ain’t exactly Brazilian flairful surgical takedown of a defence it’s just a sign coaching. I can see VAR being a factor. Even if it doesn’t get used the discourse around it has become so toxic people just subconsciously anticipate after every goal to see the big board flash up with the three letters. Also tactics play a little role. A decent chunk of goals will be from a team transitioning from comfortable possession to a midfielder pinging a ball out wide to a full-back running down past the opposition Defense, whipping a quick cross in, and it gets coolly tucked home by whoever gets on the end of it. That’s a basic template for 25% of goals you’ll see nowadays. It’s why any left back or right back is almost demanded to be good at attacking because it’s a fundamental key thing to breaking down defences.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
"Now, it’s all about system-based forwards, tactical pressing, and team play over individual brilliance. The art of the solo goal has faded. Strikers like R9 don’t exist anymore. Strikers who attempt to pick up the ball from midfield, glide past defenders, and score with flair will be considered selfish. If they don’t score, there’d be 1000 YouTube shorts with red arrows pointing to all the players they could’ve passed to. Pep and Arteta will 100% bench those players.",hot_take,Bold opinion or claim asserted without checkable evidence.
"Intense pressing, lots of running, combative tacking to win the ball back. Love Klopp, but he took years off of Fabinho's career. Didn't do a world of good for already injury prone players like Ox or Thiago either.",hot_take,Bold opinion or claim asserted without checkable evidence.
"If you join a team a new manager should at the very least improve some aspects of play, be it pressing, attacking, defending just something.. he's done fck all but harp on about players not being suited to some amazing system of his..",hot_take,Bold opinion or claim asserted without checkable evidence.
"Him being a Liverpool fan absolutely makes it more likely because he knows the interest is/was there and he did the same at Everton once he knew a bigger club were in for him. I agree that there is other pressing issues that need to be addressed but like I’ve said a million times, we have no idea what will happen in the summer. I personally think that 2/3 of Diaz /Jota and Nunez will leave and as good as Rio is, I don’t think he’ll be a serious first team option until he’s at least 18/19 which is 2+ years time. Diaz also only has a year left on his contract, and if you want to talk about priorities, he’s far down the list in terms of the contracts we need to sort so I can definitely see him being sold this summer. If you don’t think Barca then fair enough but it’s a very genuine possibility he goes.",hot_take,Bold opinion or claim asserted without checkable evidence.
"Only reason it was on the menu was because Newcastle instigated it to get around PSR, the negotiations were held before Slot had arrived and fell through before he'd had any input. I don't think him being a Liverpool fan really makes it anymore likely, he's only 2 years younger than Gakpo and there are more pressing issues in the squad. Salah is 32 we need to be thinking about life after Salah, Robertson is past his best, DM still needs sorting a proper striker might still need signing. Why spend the £80 mill + that Gordon would go for to only be a rotation player when that money would be better spent elsewhere, and on more complete players? Gordon's fee would need to be drastically lower for him to be in contention, and he'd also be an unnecessary hurdle for Ngumoha's development.",analysis,Cites specific evidence (stats / named sequence / tactical mechanism).
You must have some really low self esteem to keep pressing on with trying to insult other people’s intelligence. Really weird behaviour.,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
